,company_name,address,telephone,fax,email,website,contact_person
91,"HANKYU HANSHIN EXPRESS (THAILAND) CO., LTD.","TAC HOUSE, 5TH-7TH FLOOR, NO.1 SOI RUAMRUDEE, PLOENCHIT ROAD., KWAENG LUMPINEE, KHET PATHUMWAN, BANGKOK 10330",662-126-8500 ,662-650-8023 ,onuma@th.hh-express.com,,Ms. Onuma Pengkul 
92,"HARPERS SEA FREIGHT CO., LTD.","42 CONNECT TOWER BLDG., 8th FLOOR, ROOM 8A, SOI NARATHIWAT-RATCHANAKARIN 10, THUNGWATDON, SATHORN, BANGKOK 10120",662-224-4121 ,"662-224-3844, 224-3870 ",boonchai@harpers.co.th,,MR.BOONCHAI THANAMANOSARN 
93,"HAZCHEM LOGISTICS MANAGEMENT CO., LTD.","628, 4th FLOOR, TRIPLE I BUILDING, NONSEE ROAD, CHONGNONSEE, YANNAWA, BANGKOK 10120",662-681-8000 ,662-681-8999 ,Toon@hazchemlogistics.com,http://www.hazchemlogistics.com,MR.CHALERMSAK KARNCHANAWARIN 
94,"HTC LOGISTICS & SHIPPING CO.,LTD.","145 / 18-19 (Hong Tower) Room A901, 9th Floor Bang Khun Thian - Chaithale Road,Samae Dam Subdistrict, Bang Khun Thian District Bangkok 10150",662-408-3981 ,662-408-3982 ,Sam@thaihtc.com,http://thaihtc.com/,MR. LIN JUN 
95,"I.F.S. (BANGKOK) CO.,LTD.","356/40 GREEN TOWER ,12th FLOOR,RAMA4 RD., KLONGTON, KLONGTOEY, BANGKOK 10110",02-367-3356 ,02-367-3363 ,nikki@ifsbangkok.co.th,http://ifs-bangkok.com, 
96,"I.M.T. LOGISTICS 1979 CO.,LTD.","61/189-191 2nd FLOOR RAMA 9 ROAD., HUAI KWANG, HUAI KWANG, BANGKOK 10310",662-643-1178 ,"662-248-4858,662-245-8566 ",imt@imtgroup.net,http://www.imtgroup.net,MS. KORNRATT DUMMAI 
97,"IC INTERFREIGHT CO.,LTD","600/18 B Square Rama 9-Mengjai Soi Ramkhamhaeng 39,
Kwang/Khet Wangthonglang, Bangkok 10310",02 196 1892-5 ,02 196 1896 ,siriwan@ic-interfreight.com,http://ic-interfreight.com,Ms.Siriwan 
98,"IMEX LOGISTICS CO.,LTD.","1/52 SOI SUPAPONG 3 YAK 8, SRINAKARIN ROAD (SOI 40),
NHONGBON, PRAVASE, BANGKOK  10250",+662 330-9281-5 ,+662 330-9286 ,sales@imex-logistics.com,http://www.imex-logistics.com,MS. PHANNIPA NANUAM 
99,"INDIGO LINE CO.,LTD","No. 84/74  
Nonsi Road, Chongnonsi, Yannawa, 
Bangkok 10120 ",02-682-8944 ,02-682-8434 ,info@indigoline.co.th,http://indigoline.com,MS.MUANPHUN PROYCHAROEN 
100,INSURANCE TESTING COMPANY LIMITED,, , ,kanlaya@aits.co.th,,Kanlaya 
101,"INTERCOSPED (THAILAND) CO.,LTD.","274/1-2 SOI RUNG RUENG, SAMSEN NOK, HUAYKWANG, BANGKOK 10310 THAILAND",(66) 2 276 3068-72 ,(66) 2 276 3053-4 ,kritpong@intercosped.co.th,http://www.intercosped.co.th,MR. KRITPONG SUWANWONG 
102,INTERFREIGHT SYSTEMS LTD.,"LPN tower 10th floor, 216 NANGLINCHI RD, CHONGNONSI, YANNAWA, BANGKOK 10120, THAILAND",02-285-4030-1 ,"02-285-2460, 02-285-4344 ",sales@interfreight-sys.com,http://www.interfreightsystems.com, 
103,"IONIC LOGISTICS CO., LTD.","69, 71 SOI RAMKHAMHEANG 8 YAKE 6,  RAMA 9 RD., HUAMARK , BANGKAPI ,  BANGKOK   10240.",662-717-2691-5 ,"662-719-8141, 717-2571 ",csexport@ioniclogistics.com,http://www.ioniclogistics.com,Nathaporn Pumyum 
104,"JTJB INTERNATIONAL LAWYERS CO.,LTD.","89 AIA Capital Center, 20th Floor, Room 2003 Ratchadaphisek Road, Dindaeng, Bangkok, Thailand 10400     ","02-116-1747,02-117-1464 ",02-116-1905 ,kosol@jtjb.com,http://www.jtjb.co.th,"MR.KOSOL SURIYAPORN, MR. NAIYACHON TATHONG "
105,"JUST LOGISTICS CO.,LTD.","98 Sathorn Square Office Tower,20th Floor Unit no.2009-
2010,North Sathorn Road, Silom,Bangrak,bangkok 10500 Thailand",662 163 2866 ,662 163 2844 ,"info@just-logs.co.th,praditha@just-logs.co.th",http://www.just-logs.co.th,Ms.Praditha Pajonpai 
106,"KASE SHIPPING (THAILAND) CO., LTD.","3388/79, 22nd FL., SIRINRAT BLDG., RAMA 4 RD., KLONGTON, KLONGTOEY, BANGKOK 10110",662-367-5688 ,662- 671-6766 ,merry@kasethai.co.th,,MRS. MERRY TAN 
107,"KERRY-APEX (THAILAND) CO.,LTD","163 Thai Samut Building, 14th Fl., AB Surawongse Road, suriyawong, Bangkok 10500",662-233-9888 ,662-233-8817-8 ,sirirat.chomduang@kerryapex.com,,MS. SIRIRAT CHOMDUANG 
108,"KODAI (THAILAND) CO.,LTD.","43 THAI CC TOWER ROOM 180, 18TH FLOOR, SOUTH SATHORN ROAD, YANNAWA, SATHORN, BANGKOK 10120",662 210-0025-26 ,662 675-6220 ,"khaophun@kodai-thailand.co.th,mook@kodai-thailand.",,"MS. PORNTHIP PUTTHA, MS. PICHAMON KUNAGORN "
109,KUEHNE + NAGEL LIMITED,"2034/116 - 117,120 - 123, 27th - 28th FLOOR ITALTHAI TOWER,
NEW PETCHBURI ROAD, BANGKAPI, HUAYKWANG BANGKOK 10310",662 018 8800  ,662 012 4260 ,"metta.vichaikatka@kuehne-nagel.com ,jiraporn.Kumso",http://www.kuehne-nagel.com,MS. METTA VICHAIKATKA 
110,"KWE-KINTETSU WORLD EXPRESS (THAILAND) CO.,LTD","99 Soi Ladprao 28, Ratchadapisek Road, Chankasem, Chatuchak, Bangkok 10900","02-7925999, 02-5153888 ",02-5115720 - 8 ,kwebkk@ao.kwe.com,, 
111,"KYOEI GLOBAL LOGISTICS (THAILAND) CO.,LTD.","77/51 Sinn Sathorn Tower, 14th  Floor, Krungthonburi Rd., Klongtonsai, Klongsan, Bangkok 10600",02-405-4831 ,- ,manatsanan@kyoeigloballogistic.com,,MS. MANATSANAN PONGPATTHARASAK 
112,"LAEM CHABANG LOGISTICS CO.,LTD.","2198/10-11 EMS BUILDING, 4th FLOOR, SOI TAWEEWATTANA, CHAN ROAD, CHONGNONSEE, YANNAWA, BANGKOK 10120",02-286-5477 ,02-286-5951 ,dhanakorn.i@laemchabang-log.com,,MR. DHANAKORN ITTIPONGMAETEE 
113,LEADER MUTUAL FREIGHT SYSTEM,"65/63 6th FLOOR, CHAMNAN PHENJARI BUSINESS CENTER,
RAMA 9 RD., KWANG HUAYKWANG, 
KHET HUAYKWANG, BANGKOK  10320",662-245-4555 ,662-248-2730-1 ,"account@lmfbkk.com, export-sea@lmtbkk.com",,MR.JUSTIN WANG 
114,LEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED,"251-251/1 SOI PAKDEE, RAMA 3 ROAD, BANGKORLAEM, BANGKOK 10120",662-079-9888 (50 Lines)  ,662-079-9829  ,kettivit@leogloballogistics.com,http://www.leogloballogistics.com,MR. KETTIVIT SITTISOONTORNWONG 
115,LESCHACO (THAILAND) LTD.,"3354/36-39, 11th FLOOR, MANOROM BUILDING, RAMA IV RD., KWANG KLONGTON, KHET KLONGTOEY,
BANGKOK  10110","662-686-1000,662-767-7000 ","662-671-6600,662-767-7077 ",Nicha.buranapongsak@leschaco.com,http://www.anker-leschaco.com,MS. NICHA BURANAPONGSAK 
116,LESCHACO CUSTOMS CLEARANCE (THAILAND) LTD.,"3354/36-37, 11TH FLOOR, MANOROM BUILDING, RAMA 4 ROAD, KLONGTON, KLONGTOEY, BANGKOK 10110",0-2686-1000 ,0-2671-6600 ,Boonthong.Dechprechachai@leschaco.com,,MR. BOONTHONG DECHPRECHACHAI 
117,"LISSOM LOGISTICS CO., LTD.","364 Rama 2 Road, Samea Dam, Bangkhunthian, Bangkok 10150 Thailand ",66-2-895-9771 ,66-2-895-9772 ,info@lissom-logistics.co.th,http://www.lissom-logistics.co.th,MS. SAPATCHANAN AKRATEEKAYU 
118,"LOGEM LOGISTICS CO., LTD","75/18 Richmond Building, 10th Floor, Soi Sukhumvit 26, Sukhumvit Rd., Klongton, Klongtoey, Bangkok 10110",02-259-5640-5 ,02-259-5646-7 ,logem@logem.co.th,http://www.logemlogistics.com,MS. KANOKWAN CHAKREERAK 
119,LOGISTICS MANAGEMENT SERVICES LTD.,"2922/132, 3rd FLOOR, CHARN-ISSARA TOWER II,
  NEW PETCHABURI ROAD, BANGKAPI,
  HUAY KWANG, BANGKOK 10310",662-716-5185-86 ,662-716-5187 ,"chalit@logistics-man.com,sineenaj@logistics-man.co",,MR. SINEENATTHA EUAFUEA 
120,"LOGISTICS ONE EXPRESS CO.,LTD.","1000/127 SOI SUKHUMVIT 55 (THONGLOR), SUKHUMVIT RD., NORTH-KLONGTAN, WATTANA, BANGKOK 10110",02-381-5001-5 ,02-381-5008 ,"lakkana.t@logisticsoneexpress.com,voratat.t@logist",http://www.logisticsonexepress.com,MS. LAKKANA TANTIVIRAKUL 
121,"LOGITEM (THAILAND) CO.,LTD","75/22,27 Richmond Tower, 11th Fl., Sukhumvit 26 (Ari) Sukhumvit Rd., Klongton, Klongtoey, Bangkok 10110",662-260 8293 - 5 ,662-261 8298 ,"parinya@logitem.co.th,Phurichai@logitem.co.th",http://www.logitem.co.jp,MR.PARINYA KANANURAK 
122,LOGWIN AIR + OCEAN (THAILAND) LTD.,"8th FLOOR, VIBULTHANI 1 TOWER,
3195/13  RAMA 4 RD.,KLONGTON,
KLONGTOEY, BANGKOK 10110.",662-661-5735-44 ,662-661-5733 ,wanida.udomswangchoke@logwin-logistics.com,,MS.WANIDA UDOMSAWANGCHOK 
123,"LPK GLOBAL TRADE CO., LTD.","109 CCT TOWER 13th FLOOR, SURAWONG RD, SURIYAWONG, BANGRAK, BANGKOK, 10160 THAILAND",66-2266-3647 ,66-2235-4700 ,napassanunt@lpk-global.com,,napassanunt 
124,"M+R FORWARDING (THAILAND) CO., LTD.","15TH FLOOR. MANOROM BLDG., 3354/49 RAMA 4 RD., KLONGTON, KLONGTOEY, BANGKOK 10110 ",662-249-9787 (12 LINES) ,662-249-3844 ,accounting@th.mrspedag.com,,MISS AMORNRAT WANJAI 
125,MAC-NELS SHIPPING (THAILAND) LTD.,"729/92  RATCHADAPISEK  Rd., BANGPONGPANG ,  YANNAWA , BANGKOK  10120.","662-295-2071, 683-7240 ",662-294-0649-50 ,macnels@mmp-group.com,,MR.BOONCHAI SORN-NGOD-NGAM 
126,"MACPRO EXPREES CO., LTD.","729/115 RATCHADAPISEK  ROAD ,  BANGPONGPANG, YANNAWA, 
              
BANGKOK 10120.",662-683-8737 (15 LINES) ,"662-683-8837 , 683-7252 ",sompong@macproexpress.com,,MR.SOMPONG MANEENACARITH 
127,"MAGNOLIA LOGISTICS CO.,LTD.","31/20 KRUNGTHEPKRITHRA ROAD, KWANG THAP CHANG, KHET SAPHAN SUNG, BANGKOK 10250",+66 2 736 1824-6 ,+66 2 736 1827 ,kusuma@magnoliagroups.com,http://www.magnoliagroups.com,MS. KUSUMA KOCHANAK 
128,"MAGNUS LOGISTIK CO.,LTD.","8/45 Vista Park, Ratchada-Ramindra Road, Ramindra, Kannayao, Bangkok 10230",662-347-7599 ,662-347-7449 ,info@magnuslogistik.com,http://www.magnuslogistik.com,Mr. Teerawat Munwong (Timmy) 
129,"MAINFREIGHT LOGISTICS (THAILAND) CO., LTD.","193/64, 16TH FLOOR LAKE RAJADA OFFICE COMPLEX, RATCHADAPISEK ROAD, KLONGTOEY, KLONGTOEY, BANGKOK 10110",662-264-0390-5 ,662-264-0396 ,withanya.ceetantivech@mainfrieghtasia.com,http://www.mainfreight.com, 
130,"MARINE EXPRESS CO., LTD.","177/1 BANGKOK UNION INSURANCE, 11th  FLOOR, ZONE A, SURAWONGSE ROAD, SURIYAWONG, BANGRAK,  BANGKOK  10500.","662-237-9599(AUTO),238-3355(AUTO) ","662-236-8771-2 , 266-9417 ",marine@marine-express.co.th,,MR.PRANOTE KRAIPRAYUNE 
131,"MARITIME ALLIANCE CO., LTD.","56 YADA BUILDING, 4th FLOOR, 
ROOM NO. 4/7-8, SILOM ROAD, 
SURIYAWONGSE, BANGRAK, 
BANGKOK  10500",662-632-9993 ,662-632-9880 ,wanwilai.a@malliance.com,http://www.malliance.com,Ms. Wanwilai Arunwuttipong 
132,"MASS TRANSPORT EXPRESS CO., LTD.","42 SOI SOONVIJAI 4,BANGKAPI,HUAI KHWANG,BANGKOK 10130",02-013-5499 (AUTO) ,02-017-4269 ,"customers@mass.co.th, gun@mass.co.th, naruedee@mas",http://www.mass.co.th,MR. GUN JIRAKIERTIVADHANA 
133,"MASTERICH CO., LTD.","3388/68 19 FL., SIRINRAT BLDG., RAMA IV RD.,
KLONGTON, KLONGTOEY, 
BANGKOK  10110",662-367-5558 ,662-367-5288-89 ,"info@masterich.com, tanate@masterich.com",,MR.TANATE ONGARTNIRAMAI 
134,"MAXX WORLD LOGISTICS CO., LTD.","662/29-32 RAMA 3 ROAD, BANGPONGPANG, YANNAWA, BANGKOK 10120",02-682-1888 ,02-682-3750 ,center@maxxlogs.com,, 
135,"MEIKO TRANS ( THAILAND ) CO., LTD.","216/67 L.P.N. TOWER, 16th FLOOR UNIT A, NANGLINCHEE RD,CHONGNONSEE, YANNAWA, BANGKOK 10120",662-650-1555 ,662-285-2896-7 ,"sale@meikoasia.com, nitivadee@meikoasia.com",http://www.meikoasia.com,Ms. Nitivadee Sakdatorn 
136,"METROPOLITAN LOGISTICS CO.,LTD.","516,518 SOI RAMA II SOI 60, RAMA II ROAD, SAMAE DAM, BANG KHUN THIAN, BANGKOK 10150",02-415-4323 ,02-415-4324 ,fhakumnod@met-logs.com,http://www.met-logs.com,MS. FHAKUMNOD HATTHAPAN 
137,"MITSUBISHI LOGISTICS ( THAILAND ) CO., LTD.","139 SETTHIWAN  BLDG. , 16th  FL. ,
PAN  ROAD ,  SILOM ,  BANGRUK ,
BANGKOK  10500.","662-237-9272 , 237-9093-4 ",662-237-9276 ,radchaneekorn.n@mitsubishi-logistics.co.th,http://radchaneekorn.n@mitsubishi-logistics.co.th,MS. RADCHANEEKORN NUCHNIT 
138,"MITSUI-SOKO ( THAILAND ) CO., LTD.","287 LIBERTY SQUARE BUILDING 11th FLOOR ,SILOM ROAD, SILOM
BANGRAK , BANGKOK   10500.",662-012-4900 ,662-012-4999 ,monchai@mitsui-soko.co.th,,MR.MONCHAI JUNGKITCHAROEN 
139,"MKC (THAILAND) CO.,LTD.","2533 SUKHUMVIT ROAD, BANGCHACK, PHAKANONG, BANGKOK 10260",02-730-3299 ,02-730-3224 ,"satoru_matsuda@mkcthai.co.th, rachanee_r@mkcthai.c",, 
140,"MOL LOGISTICS (THAILAND) CO., LTD."," 163 Thai Samut Building,11th-12th Floor, Surawongse Road, Suriyawongse Sub-District, Bangrak District, Bangkok 10500","+66 (0) 2287-7878, 66 (0) 2030-2888 ","+66 (0) 2287-7871-3, 66 (0) 2237-9201 ",phurida@mol-logistics.co.th,http://www.mol-logistics.co.th,MS. PHURIDA PHENPIAN 
141,"MOVEMAX SYSTEM LOGISTICS CO.,LTD.","1 MD TOWER BLDG., 7FL., SOI BANGNA-TRAD 25, BANGNA-TRAD RD., BANGNA, BANGNA, BANGKOK 10260",02-1864983-5 ,02-1864986 ,movemax@movemax.net; manager@movemax.net,,MS. TANYA KHIEWBANMAI 
142,MS SUPPLY CHAIN SOLUTIONS ( THAILAND ) LTD.,"2126 - KROMADIT  BUILDING ,  5th  FL. ,
NEW PETCHBURI RD., BANGKAPI, HUAYKWANG, 
BANGKOK  10310.",662-715-6500 ,662-715-6555 ,Ampai.Ch@mscs-th.com; Waraporn.Ch@mscs-th.com,http://www.mscs.co.th,MS.THANYAPORN PHANRUENGWONG 
143,MSI LOGISTICS LIMITED,"9 Soi Seri Villa Village (1st Intersection),
Srinakarin Road,  Nhongbon,  Praves, 
BANGKOK 10250.","662-398-3388,398-2266 ","662-398-3381, 662-748-2964 ",admins@msi-logistics.net,http://www.msi-logistics.net,MS. NATTHAKARN MONGKHOLSUVABUNDIT 
144,"MULTI FREIGHT SYSTEM CO., LTD.","554 RACHADAPISEK26, RACHADAPISEK ROAD, SAMSENNOK, HUAYKWANG,  BANGKOK  10310.",662-541-4144 (10 LINES) ,662-938-9857 ,"md.mfs@multiairservices.com,mfs@multiairservices.c",http://www.mfs.co.th,MR. PREECHA MUKDAPRASIT 
145,"NAIGAI NITTO LOGISTICS (THAILAND) CO., LTD.","19 SRINAKARIN ROAD,
NORTH BANGNA, BANGNA,
BANGKOK 10260,THAILAND",662-338-7488 ,662-338-7499 ,admin@profrtgroup.com,,MR.SUWIT RATANACHINDA 
146,NASA TRANSPORT CORPORATION LTD.,"17 SOI RAMINTRA 55/8 TARANG, BANGKHEN, BANGKOK 10230",662-347-0733 ,662-347-0743 ,cs@nasatransport.com,,MR.PORNCHAI BOONTHUMMATHIT 
147,"NIPPON EXPRESS ( THAILAND ) CO., LTD.","2032 3rd Floor,4th Floor, 2034/86 19th Floor Italthai Tower, New Petchburi Road, Bangkapi, Huaykwang, Bangkok 10310","662-080-7666,080-7555 ",662-080-7556-57 ,somsakc@nittsu.co.th,,MR. SOMSAK CHAIPRAPA 
148,"NIPPON KONPO (THAILAND) CO., LTD.","52 THANIYA PLAZA, 22nd FLOOR ZONE D, SILOM ROAD, 
SURIYAWONGSE, BANGRAK, BANGKOK  10500",662-231-2481-3 ,662-231-2484 ,nktbkk@ksc.th.com,http://www.anilogi.com/webmail,MR.ADISORN SUWANDEE 
149,"NNR GLOBAL LOGISTICS ( THAILAND ) CO., LTD.","89 MOTORWAY ROAD, KWANG KLONGSONGTONNOON, KHET LAT KRABANG, BANGKOK 10520",662-184-9545-54 ,662-184-9541-44 ,thaninpong.p@nnrbkk.com,,Mr. Thaninpong Puvalertreungwut 
150,"NOATUM LOGISTICS (THAILAND) CO.,LTD.","253, 21 Fl., Soi Sukhumvit 21 (Asoke), Sukhumvit Rd, Klongtoey Nua, Wattana, Bangkok 10110 Thailand",662-204-1966-9 ,662-204-1965 ,Somchai.thaitaechawat@miq.com,http://miq.com,MR. SOMCHAI THAITAECHAWAT 
151,"NTL NAIGAI TRANS LINE (THAILAND) CO., LTD.","287 LIBERTY SQUARE BUILDING 
14th FLOOR, SILOM ROAD, SILOM
BANGRAK , BANGKOK 10500",662-066-7700 ,662-066-7720 ,ntl@ntl-naigai.co.th,http://www.ntl-naigai.com,MS.SUNISA NAKKARAT 
152,"OCEAN AIR INTERNATIONAL CO., LTD.","1249/219 GEMS TOWER, 38th FLOOR, CHAROENKRUNG ROAD, SURIYAWONGSE, BANGRAK, BANGKOK  10500",662-267-4949-53 ,662-267-4954 ,"oceanair@loxinfo.co.th,terapol@oceanairinter.com,o",http://oceanairinter.com,MR.TERAPOL KLAYOO 
153,"OKAMOTO LOGISTICS (THAILAND) CO.,LTD","AMATA NAKORN INDUSTRIAL ESTATE PHASE7, 700/655 MOO 1, BANGNA-TRAD ROAD.,TAMBOL PHANTHONG, AMPHUR PHANTHONG, CHONBURI 20160",663-8210-278-84 ,"663-8210-284,286 ",attaporn@okalog.co.th,http://www.okamoto.co.jp,MR.ATTAPORN PETSUWAN 
154,OOCL LOGISTICS (T) LTD.,,662-646-9590 ,662-646-9580-1 ,noppadol.watthakovith@oocllogistics.com,, 
155,"OPENSEA CARGO SERVICE CO., LTD.","223/29, 10th FLOOR, COUNTRY COMPLEX TOWER , SANPHAWUT ROAD, BANGNA TAI, BANGNA, BANGKOK 10260 THAILAND",662-745-7800 ,662-745-7865 ,contact@opensea.co.th,,MR. THAMAPAT PATTARATAM 
156,"ORIENT EXPRESS CONTAINER ( T ) CO., LTD.","2024/118 RIMTANGROTFAI  SAIPAKNAM ROAD, PRAKHANONG, KLONGTOEY, BANGKOK   10110.",662-333-0720-4 ,662-332-3809 ,all@oecbkk.com,,MR.PHAT JIERAPONG 
157,"ORIENT STAR INTERNATIONAL LOGISTICS CO., LTD.","71/30 Barom-ratchonanee Road, Aroon-amrin,Bangkoknoi, Bangkok 10700",(66-2) 8848666 (Auto) ,(662-2) 8847750-51 ,jeed@orientstar.co.th,http://www.orientstargroup.com,"MS. RAPEEORN PANEETATYASAI, Mr. Dherawat Vidhech "
158,"PAC ORIENT CO.,LTD.","109 Surawong Rd., Suriyawong, Bangrak, Bangkok10500",662-238 1175-7 ,662-237 6886 ,sales@pac-orient.com,,MR.CHAIYANUN  
159,"PACIFIC STAR ALLIANCE CO.,LTD.","116/89 SSP TOWER 2, 23RD FL., NA-RANONG ROAD, KLONGTOEY, KLONGTOEY, BANGKOK, 10110",662-671-2366 ,662-671-2369-70 ,pacific@pacificstar.co.th,http://www.pacificstar.co.th,K. SIRIRAT PIUMWATATHAPORN 
160,PENANSHIN SHIPPING (THAILAND) LTD.,"729/116 RATCHADAPISEK RD., BANGPONGPANG,
YANNAWA, BANGKOK  10120",662-683-9570 ,662-683-7177 ,penanshin@penanshin.co.th,,MR.ANU KONGAMORMPINYO 
161,"PERFECT TRANSIT CO., LTD.","106/13-14 MOO 9, TUNGSUKHLA, SRIRACHA, CHONBURI 20230",038-109-181-2 ,038-109183 ,kitisak@perfecttransit.co.th,,MR. KITTSAK THIAMRATTANANON 
162,"PILOT CONSOLIDATOR CO., LTD.","PILOT  HOUSE , 2024/84-8511  SUKHUMVIT  50 , RIMTANG  ROTFAI  RD. ,  PRAKANONG BANGKOK  10250.",662-333-0505-8 ,662-742-8727 ,vira@pilotbkk.com,,MR.SENI NIVATPUMIN 
163,"PILOT AIR CARGO CO.,LTD.","2024/47-48 SUKHUMVIT 50, RIMTHANG ROTFAI ROAD, PHRAKANONG, KLONGTOEY, BANGKOK, THAILAND  10260",662-715-9900-18 ,662-742-8288 ,rueangrit@pilotcargothailand.com,http://www.pilotcargothailand.com,MR. RUEANGRIT POOMSRISAARD 
164,"PINNACLE LOGISTICS (THAILAND) CO., LTD.","69/178 SOI RAMKHAMHAENG 164, MINBURI, MINBURI, BANGKOK  10510",662-978-6905 (auto 12 lines) ,662-978-6910 ,puntip@pinnacle-logistics.com,http://www.pinnacle-logistics.com,MR.Sompoch Udomsri/Ms. Puntip Tessalee 
165,"PIONEER OCEAN FREIGHT CO., LTD.","33656/30 RAMA IV ROAD, KHWANG KLONGTON, KHET KLONGTOEY, BANGKOK 10110 THAILAND",662-367-3655-68 ,662-367-3654 ,info@pioneergroup.in.th,,MR.CHAMLONG PHUNCHAROENSIN 
166,"POLAR STAR CO., LTD.","888 POLARIS TOWER, SUKHUMVIT SOI 20, SUKHUMVIT RD., KLONGTOEY, KLONGTOEY, BANGKOK  10110",662-291-9979 ,"662-291-9928, 662-291-8171 ",info@polarstar.co.th,http://polarstar.co.th,MR.CHANAK HONGSUNIRUNDON 
167,"PORNVATANA TRANSPORT CO., LTD.","55,57 SOI LASAL 79,BANGNA TAI, BANGNA, BANGKOK 10260 THAILAND",662-745-8222 (Hunting) ,"662-745-8015-7, 745-8074-5 ",admin@pornvatana-transport.com,http://www.pornvatana-transport.com,MR. WORAWAT EURWILAICHIT 
168,"PRO INTERFREIGHT CO.,LTD.","29/43 SOI CHAN 43 YAK 26-1-1, BANGKHLO, BANGKHOLAEM, BANGKOK 10120",02-307 8445 ,02-307 8447 ,wiwa@prointerfreight.com,,Ms.Wiwa Meesuksamer 
169,"PROFREIGHT INTERNATIONAL CO., LTD.","19 SRINAKARIN ROAD,
NORTH BANGNA, BANGNA,
BANGKOK 10260",662-338 7488 ,662-338 7499 ,suwit@profrtgroup.com,,MR.SUWIT RATANACHINDA 
170,"PROMARINE EXPRESS CO., LTD","26/55 CHAN SPACE BUILDING 4TH FLOOR,NANGLINCHI ROAD,THUNGMAHAMEK, SATHORN, BANGKOK 10120",662-287-4315-25 ,662-287-0022 ,dussadee@promarine.co.th,http://www.promarine.co.th,MR.AROON KHIENGTHONG 
171,"PROSPEROUS CARGO LOGISTICS CO.,LTD.","NO.1 MONPICHIT BUILDING, 4th FLOOR, RATCHADAPISEK ROAD, BANGPONGPANG, YANNAWA, BANGKOK 10120, THAILAND",662-294-9722 ,662-294-9405 ,golf@properous.co.th,,MR. NOPPADOL ONSRI 
172,"QUALITY FREIGHT INTERNATIONAL CO., LTD.","23/22 SORACHAI BUILDING, 14th FLOOR, 
SUKHUMVIT 63, SUKHUMVIT RD., 
KLONGTON-NUA, WATTANA, BANGKOK  10110",662-714-3011 ,662-714-3154 ,varoon@qfreight.co.th,http://www.qualityfreightgroup.com,MR. VAROON SATHIRAWATKUL 
173,"R.K. INTERNATIONAL FREIGHT CO., LTD.","88 A.P. NAKARIN BUILDING,16th FLOOR , SOI LA SALLE 58, BANGNA TAI, BANGKOK 10260, THAILAND",662-748-6601-4 ,662-748-6605-6 ,operations@rkinter.com,http://www.rkinter.com,MR. CHARUMPORN SUKSAWATDI 
174,"RHENUS LOGISTICS CO., LTD.","191/14  CTI Tower, 28th Floor, Ratchadapisek Road, Klongtoey, Bangkok 10110, Thailand.",662-261-5380-5 ,662-261-5386 ,malinee.nanakorn@th.rhenus.com,http://www.rhenus.com,MS. MALINEE NA NAKORN 
175,"ROJANA DISTRIBUTION CENTER CO., LTD.","MANOROM BUILDING 11 th. FLOOR, 3354 RAMA IV RD., KLONGTOEY, BANGKOK  10110","662-249-8612, 671-6770 ",662-249-8615 ,rdc1@ksc.th.com,,MS.APASSORN MONGKOLHONG 
176,ROYALTAINER CORPORATION LTD.,"123/9 NONSEE ROAD, CHONGNONSEE, YANNAWA, BANGKOK  10120.",662-681-0555 (20 lines) ,662-681-0566 - 68 (3 lines) ,admin@royaltainer.com,http://www.royaltainer.com,Ms. Siriwan Suktavesub 
177,"RR LOGISTICS CO., LTD.","43 Thai CC Tower 3rd Fl,Room no.32
South Sathorn Rd.,Yannawa,Sathorn
Bangkok 10120 Thailand",(662)675 8558 ,(662)675 8118 ,export@rrlogistics.co.th,http://www.rrlogistics.co.th,Mr.Pirom Samode 
178,"RTN LOGISTICS CO., LTD.","1519/71-72 LADPROW 41/1,  LADPROW RD., SAMSENNOK, HUAY KWANG, BANGKOK  10320",662-512-3484 ,662-512-3805-6 ,kamolrat.c@rtnlogistics.co.th,http://www.rtnlogistics.com,"MRS.KAMOLRAT CHUMMANON, MR.PIYA THEERAPIBOON "
179,"S.A. LOGISTICS CO., LTD.","1447 TOWN IN TOWN SOI 3/3, SRIWARA ROAD, PLABPLA, WANGTHONGLANG, BANGKOK 10310",662-530-9327 ,662-530-9411 ,salogistics@salogistics.co.th,http://www.salogistics.co.th,MR.APISIT LUANGSUKAVIRIYA 
180,"S.A. OVERSEAS SHIPPING CO., LTD.","1447 TOWN IN TOWN SOI 3/3, SRIWARA ROAD,
PLABPLA, WANGTHONGLANG, BANGKOK 10310",662-530-9327 ,662-530-9411 ,saoverseas@saoverseasshpg.co.th,http://www.saoverseasshpg.co.th,MR.APISIT LUANGSUKAVIRIYA 
181,"S.N.P. LOGISTICS CO.,LTD.","SNP Building 42 Soi Sukhumvit 62, Sukhumvit Road, Phra Khanong Tai, Phra Khanong, Bangkok 10260",662-333 1199 ,662-333 1166 ,"logistics@snp.co.th, patcharin@snp.co.th",http://www.snp.co.th,MS. PATCHARIN KHUMKOCN 
182,"SAFCO INTERNATIONAL (THAILAND) CO.,LTD.","111/16 SOI SOMPRASONG III 
PHAYATHAI RD., RAJTHAVEE,
BANGKOK, 10400 
THAILAND","662-6538082-4, 662-257977-8 ",- ,admin@safco.co.th,http://www.safco.com.tw,K. Toon # 102 / Admin 
